Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,In-sample RMSE,Out-of-sample RMSE
300,tanh,11,Adam,Xavier,0,0.03919282555580139,0.08958949864164778
300,relu,11,Adam,Xavier,0,0.03972543776035309,0.1464894054823252
300,relu,8,Adam,Xavier,0.001,0.03984932228922844,0.07930883609202552
300,relu,8,Adam,Xavier,0.0001,0.04000719264149666,0.0679485645303679
300,relu,8,Adam,Xavier,0,0.04048439860343933,0.079757429080889
300,tanh,5,Adam,Xavier,0.0001,0.04059730842709541,0.08492693289175197
300,relu,11,Adam,Xavier,0.001,0.040634043514728546,0.04834951476503776
200,tanh,11,Adam,Xavier,0.0001,0.04078154265880585,0.05174361219975617
200,relu,8,Adam,Xavier,0.0001,0.04087432101368904,0.07399863174818586
300,relu,11,Adam,Xavier,0.0001,0.041080720722675323,0.0904447620693405
300,tanh,11,Momentum,Xavier,0.0001,0.041184451431035995,0.06203539649842423
300,tanh,8,Adam,Xavier,0,0.04120121896266937,0.0750426211005705
300,tanh,8,Momentum,Xavier,0.0001,0.041565392166376114,0.1721738979315901
300,tanh,11,Momentum,Xavier,0.001,0.04161376506090164,0.06241522569607799
200,relu,5,Momentum,Xavier,0.0001,0.041951585561037064,0.13255634938633087
300,relu,11,Momentum,Xavier,0.001,0.04199715703725815,0.058611508880226815
300,relu,5,Momentum,Xavier,0.001,0.04216541349887848,0.07845594519465264
300,sigmoid,5,Adam,Xavier,0,0.042176611721515656,0.08437316881774824
300,relu,5,Adam,Xavier,0.0001,0.04217790439724922,0.049068082765433195
300,tanh,8,Momentum,Xavier,0.001,0.04230561479926109,0.07699106404643177
200,relu,11,Momentum,Xavier,0.001,0.04238004982471466,0.07528821015732763
300,tanh,11,Momentum,Xavier,0,0.04255371168255806,0.08561014997628058
300,tanh,11,Adam,Xavier,0.001,0.042762964963912964,0.07057634012403512
300,relu,11,Momentum,Xavier,0.0001,0.04286360368132591,0.13465771917516567
300,tanh,8,Adam,Xavier,0.001,0.04307602345943451,0.0748266800907174
100,tanh,11,Momentum,Xavier,0.0001,0.04350476339459419,0.1198956711532166
300,tanh,8,Momentum,Xavier,0,0.04353591054677963,0.10480340272243989
300,relu,8,Momentum,Xavier,0.001,0.04355676844716072,0.06494811025047131
100,relu,8,Adam,Xavier,0.001,0.043563663959503174,0.14703677768877152
200,relu,8,Adam,Xavier,0.001,0.04384233430027962,0.08876028050475218
300,relu,5,Adam,Xavier,0.001,0.043864961713552475,0.11181255371152661
